id,type,title,languages,genres,year,country
292532,tv,Brazil '70: The Third Star,Hindi,,2026,
1653208,movie,The Great Grand Superhero,CAM RESULT,,2026,
1704309,movie,Top Cop,PUNJABI,,2026,
220102,tv,Spider-Noir,Hindi,,2026,
1431071,movie,System,Hindi,,2026,
1371023,movie,Chand Mera Dil,CAM RESULT,,2026,
847742,movie,Drishyam 3,CAM RESULT,,2026,
1368881,movie,Ladies First,Hindi,,2026,
323210,tv,Satrangi: Badle Ka Khel,Hindi,,2026,
323198,tv,Beinteha - Ek Anokhi Dastaan,Hindi,,2026,
224941,tv,The Boroughs,Hindi,,2026,
1380291,movie,Tom Clancy's Jack Ryan: Ghost War,Hindi,,2026,
1228710,movie,Star Wars: The Mandalorian and Grogu,CAM RESULT,,2026,
1684244,movie,Untold UK: Liverpool's Miracle of Istanbul,Hindi,,2026,
322867,tv,Looteri Dulhan,Hindi,,2026,
287230,tv,The Cage,Hindi,,2026,
1628367,movie,Kartavya,Hindi,,2026,
1600771,movie,Aakhri Sawal,CAM RESULT,,2026,
1320660,movie,Pati Patni Aur Woh Do,CAM RESULT,,2026,
322565,tv,Hathras,Hindi,,2026,
322558,tv,Vimal Khanna,Hindi,,2026,
308014,tv,Berlin and the Lady with an Ermine,Hindi,,2026,
259837,tv,The WONDERfools,Hindi,,2026,
1065834,movie,Kattalan,CAM RESULT,,2026,
1694620,movie,Haye Ni Bebe Meriye,Hindi,,2026,
1662317,movie,The Crash,Hindi,,2026,
316965,tv,EXAM,Hindi,,2026,
285807,tv,Nemesis,Hindi,,2026,
258063,tv,Soul Mate,Hindi,,2026,
1678844,movie,The Bus: A French Football Mutiny,Hindi,,2026,
273240,tv,Off Campus,Hindi,,2026,
259702,tv,The House of the Spirits,Hindi,,2026,
1684240,movie,Untold UK: Jamie Vardy,Hindi,,2026,
1439930,movie,The Punisher: One Last Kill,ENGLISH,,2026,
1620034,movie,"Marty, Life Is Short",Hindi,,2026,
1657678,movie,Indian Institute of Zombies,CAM RESULT,,2026,
1522079,movie,Sathi Leelavathi,Hindi,,2026,
1464795,movie,Daadi Ki Shaadi,CAM RESULT,,2026,
1317448,movie,No Place to Be Single,Hindi,,2026,
316958,tv,Lukkhe,Hindi,,2026,
1673393,movie,Krishnavataram Part 1: The Heart (Hridayam),CAM RESULT,,2026,
1330021,movie,Remarkably Bright Creatures,Hindi,,2026,
315036,tv,Sangamarmar,Hindi,,2026,
262280,tv,Legends,Hindi,,2026,
931285,movie,Mortal Kombat II,Hindi,,2026,
1650939,movie,Pitt Siyapa,CAM RESULT,,2026,
1630661,movie,Gaayapadda Simham,Hindi,,2026,
1247165,movie,Raja Shivaji,CAM RESULT,,2026,
1171094,movie,Ek Din,CAM RESULT,,2026,
1007757,movie,Swapped,Hindi,,2026,
283657,tv,Glory,Hindi,,2026,
1433117,movie,Kara,Hindi,,2026,
223386,tv,Man on Fire,Hindi,,2026,
318262,tv,Should I Marry A Murderer?,Hindi,,2026,
300529,tv,Straight to Hell,Hindi,,2026,
1481041,movie,Ginny Wedss Sunny 2,CAMERA RESULT,,2026,
1318447,movie,Apex,Hindi,,2026,
285838,tv,If Wishes Could Kill,Hindi,,2026,
1561144,movie,Madhuvidhu,Hindi,,2026,
287978,tv,Flunked,Hindi,,2026,
224263,tv,Stranger Things: Tales from '85,Hindi,,2026,
318880,tv,Hulk Hogan: Real American,Hindi,,2026,
290230,tv,Santita,Hindi,,2026,
262848,tv,Unchosen,Hindi,,2026,
1658464,movie,WWE WrestleMania 42 Sunday,Hindi,,2026,
1239198,movie,My Dearest Señorita,Hindi,,2026,
249765,tv,Matka King,Hindi,,2026,
1659087,movie,180,Hindi,,2026,
1239134,movie,Bhooth Bangla,Cam,,2026,
316973,tv,Dandelion,Hindi,,2026,
1416391,movie,Toaster,Hindi,,2026,
1304313,movie,Lee Cronin's The Mummy,Hindi,,2026,
1084577,movie,Balls Up,Hindi,,2026,
959894,movie,Pallichattambi,Cam Result,,2026,
1641965,movie,Untold: Jail Blazers,Hindi,,2026,
1268919,movie,The Botanist,Hindi,,2026,
1576369,movie,Bharathanatyam 2 Mohiniyattam,Hindi,,2026,
1556783,movie,TN 2026,Hindi,,2026,
1290417,movie,Thrash,Hindi,,2026,
1220522,movie,Dacoit,Cam,,2026,
1209511,movie,Love Insurance Kompany,Hindi,,2026,
1631917,movie,18th Rose,Hindi,,2026,
291506,tv,Big Mistakes,Hindi,,2026,
269161,tv,Bandi,Hindi,,2026,
1422120,movie,Mermaid,Hindi,,2026,
319102,tv,Zung: The Rust,Hindi,,2026,
316898,tv,Trust Me: The False Prophet,Hindi,,2026,
1641319,movie,Sniper: No Nation,Hindi,,2026,
310800,tv,Siren's Kiss,Hindi,,2026,
1620551,movie,Feel My Voice,Hindi,,2026,
1445033,movie,Kaalidas 2,Hindi,,2026,
1423251,movie,Biker,Hindi,,2026,
318254,tv,Kaptaan,Hindi,,2026,
249771,tv,Maa Ka Sum,Hindi,,2026,
1336770,movie,Vaazha II,Hindi,,2026,
319059,tv,Adalat: Insaaf Ki Jung,Hindi,,2026,
303405,tv,Sins of Kujo,Hindi,,2026,
213703,tv,Agent from Above,Hindi,,2026,
1635276,movie,Eat Pray Bark,Hindi,,2026,
1561758,movie,It Takes a Village,Hindi,,2026,
1226863,movie,The Super Mario Galaxy Movie,Hindi,,2026,
1641961,movie,Untold: The Death & Life of Lamar Odom,Hindi,,2026,
1660940,movie,Nee Forever,Hindi,,2026,
1658163,movie,Suyodhana,Hindi,,2026,
1628116,movie,BTS: THE RETURN,Hindi,,2026,
1518247,movie,Happy Raj,Hindi,,2026,
1421977,movie,Fantasy Life,Hindi,,2026,
316295,tv,The Predator of Seville,Hindi,,2026,
301734,tv,Muthu Alias Kaattaan,Hindi,,2026,
1678386,movie,Lechindi Mahila Lokam,Hindi,,2026,
1659052,movie,Budh Singh,Hindi,,2026,
1276704,movie,53 Sundays,Hindi,,2026,
259265,tv,Something Very Bad Is Going to Happen,Hindi,,2026,
249907,tv,Sentenced to Be a Hero,Hindi,,2026,
249597,tv,Detective Hole,Hindi,,2026,
1658635,movie,Panchhi 2,Hindi,,2026,
257519,tv,Bait,Hindi,,2026,
1516501,movie,Prathichaya,Hindi,,2026,
1630433,movie,The Red Line,Hindi,,2026,
225891,tv,The Madison,Hindi,,2026,
1314786,movie,Agent Zeta,Hindi,,2026,
316879,tv,Chiraiya,Hindi,,2026,
316279,tv,Kasargod Embassy,Hindi,,2026,
1629369,movie,The Truth and Tragedy of Moriah Wilson,Hindi,,2026,
1542352,movie,Youth,Hindi,,2026,
1260210,movie,Aadu 3,Hindi,,2026,
1582770,movie,Dhurandhar: The Revenge,Hindi,,2026,
868668,movie,Ustaad Bhagat Singh,Hindi,,2026,
292474,tv,Radioactive Emergency,Hindi,,2026,
1440049,movie,Preschool,Hindi,,2026,
1492341,movie,Noah Kahan: Out of Body,Hindi,,2026,
687163,movie,Project Hail Mary,Hindi,,2026,
1658804,movie,Repu Udayam 10 Gantalaku,Hindi,,2026,
1482168,movie,"The Rise of the Red Hot Chili Peppers: Our Brother, Hillel",Hindi,,2026,
1084187,movie,Pretty Lethal,Hindi,,2026,
315159,tv,Dynasty: The Murdochs,Hindi,,2026,
283673,tv,That Night,Hindi,,2026,
1533735,movie,Nawab Cafe,Hindi,,2026,
1561687,movie,Made in Korea,Hindi,,2026,
313956,tv,Dil Dhokha Aur Desire,Hindi,,2026,
1367642,movie,Reminders of Him,Hindi,,2026,
316272,tv,Sankalp,Hindi,,2026,
240740,tv,Scarpetta,Hindi,,2026,
1633264,movie,Louis Theroux: Inside the Manosphere,Hindi,,2026,
1643729,movie,Ishqa'n De Lekhe,Hindi,,2026,
1633765,movie,Na Jaane Kaun Aa Gaya,Cam,,2026,
1469458,movie,Sambhavam Adhyayam Onnu,Hindi,,2026,
1461274,movie,Charak: Fair of Faith,Hindi,,2026,
1428294,movie,Mrithyunjay,Hindi,,2026,
1309083,movie,Dolly,Hindi,,2026,
313298,tv,The Dinosaurs,Hindi,,2026,
313100,tv,Hello Bachhon,Hindi,,2026,
281016,tv,Boyfriend on Demand,Hindi,,2026,
1646589,movie,13 Teen,Hindi,,2026,
1262547,movie,Subedaar,Hindi,,2026,
875828,movie,Peaky Blinders: The Immortal Man,Hindi,,2026,
285739,tv,Vladimir,Hindi,,2026,
1327819,movie,Hoppers,Hindi,,2026,
938150,movie,Wardriver,Hindi,,2026,
314297,tv,Blue Therapy,Hindi,,2026,
255661,tv,Young Sherlock,Hindi,,2026,
1634790,movie,Elimination Chamber,Hindi,,2026,
270420,tv,No Tail to Tell,E-Subtitles,,2026,
972232,movie,K-Pops!,Hindi,,2026,
1639763,movie,Viyaah Kartaare Da,Hindi,,2026,
1625582,movie,The Kerala Story 2 Goes Beyond,Hindi,,2026,
1602783,movie,Thaai Kizhavi,Hindi,,2026,
1441149,movie,Vishnu Vinyasam,Hindi,,2026,
1390575,movie,Nukkad Naatak,Hindi,,2026,
1389149,movie,Accused,Hindi,,2026,
1327690,movie,One Mile: Chapter Two,Hindi,,2026,
307900,tv,Secret Stories: Roslin,Hindi,,2026,
1613798,movie,Vengeance,Hindi,,2026,
300054,tv,BAKI-DOU: The Invincible Samurai,Hindi,,2026,
276083,tv,Crap Happens,Hindi,,2026,
1159559,movie,Scream 7,Hindi,,2026,
315008,tv,Psycho Saiyaan,Hindi,,2026,
224372,tv,A Knight of the Seven Kingdoms,Hindi,,2026,
1639138,movie,Shatak,Hindi,,2026,
1637212,movie,Second Case of Seetharam,Hindi,,2026,
1635529,movie,Bambukat 2,Hindi,,2026,
1435606,movie,Assi,Hindi,,2026,
1327688,movie,One Mile: Chapter One,ENGLISH,,2026,
1324842,movie,Lucky the Superstar,Hindi,,2026,
1241693,movie,Do Deewane Seher Mein,Hindi,,2026,
1428862,movie,Firebreak,Hindi,,2026,
1405769,movie,I Can Only Imagine 2,Hindi,,2026,
1268609,movie,Pavane,Hindi,,2026,
1239433,movie,Poorna,Hindi,,2026,
262273,tv,Being Gordon Ramsay,Hindi,,2026,
241372,tv,56 Days,Hindi,,2026,
1421552,movie,Panda Plan 2: The Magical Tribe,Hindi,,2026,
799882,movie,The Bluff,Hindi,,2026,
1640340,movie,Bhootan Wala Khooh,Hindi,,2026,
312423,tv,Reality Check: Inside America's Next Top Model,Hindi,,2026,
1635086,movie,Punha Ekda Sade Made 3,Hindi,,2026,
1634301,movie,Vanaveera,Hindi,,2026,
1427157,movie,My Lord,Hindi,,2026,
1403737,movie,Funky,Hindi,,2026,
1275574,movie,O' Romeo,Hindi,,2026,
1261188,movie,The Swedish Connection,Hindi,,2026,
1054493,movie,Pennum Porattum,Hindi,,2026,
273977,tv,The Art of Sarah,Hindi,,2026,
249760,tv,Bandwaale,Hindi,,2026,
1335092,movie,Sampradayaini Suppini Suddapusaani,Hindi,,2026,
